Date,Time,Steps,Heartrate,Movement
2023-1-22,12:20,0,,11
2023-1-22,12:30,0,,11
2023-1-22,12:40,0,,11
2023-1-22,12:50,0,,11
2023-1-22,13:00,0,,11
2023-1-22,13:10,0,,11
2023-1-22,13:20,0,,11
2023-1-22,13:30,0,,11
2023-1-22,13:40,0,,11
2023-1-22,13:50,0,,11
2023-1-22,14:00,0,,11
2023-1-22,14:10,0,,11
2023-1-22,14:20,0,,11
2023-1-22,14:30,0,,11
2023-1-22,14:40,0,,11
2023-1-22,14:50,0,,11
2023-1-22,15:00,0,,11
2023-1-22,15:10,0,,11
2023-1-22,15:20,0,,11
2023-1-22,15:30,0,,10
2023-1-22,15:40,0,,11
2023-1-22,15:50,0,,11
2023-1-22,16:00,0,,11
2023-1-22,16:10,0,,11
2023-1-22,16:20,0,,11
2023-1-22,16:30,0,,11
2023-1-22,16:40,0,,11
2023-1-22,16:50,0,,11
2023-1-22,17:00,0,,11
2023-1-22,17:10,0,,11
2023-1-22,17:20,0,,11
2023-1-22,17:30,0,,10
2023-1-22,17:40,0,,11
2023-1-22,17:50,0,,11
2023-1-22,18:00,0,,11
2023-1-22,18:10,0,,11
2023-1-22,18:20,0,,11
2023-1-22,18:30,0,,10
2023-1-22,18:40,0,,10
2023-1-22,18:50,0,,10
2023-1-22,19:00,0,,11
2023-1-22,19:10,0,,11
2023-1-22,19:20,0,,11
2023-1-22,19:30,0,,11
2023-1-22,19:40,0,,10
2023-1-22,19:50,0,,11
2023-1-22,20:00,0,,11
2023-1-22,20:10,0,,11
2023-1-22,20:20,0,,11
2023-1-22,20:30,0,,11
2023-1-22,20:40,0,,11
2023-1-22,20:50,0,,11
2023-1-22,21:00,0,,11
2023-1-22,21:10,0,,11
2023-1-22,21:20,0,,10
2023-1-22,21:30,0,,10
2023-1-22,21:40,0,,10
2023-1-22,21:50,0,,10
2023-1-22,22:00,0,,10
2023-1-22,22:10,0,,10
2023-1-22,22:20,0,,11
2023-1-22,22:30,0,,11
2023-1-22,22:40,0,,9
2023-1-22,22:50,0,,10
2023-1-22,23:00,0,,11
2023-1-22,23:10,0,,11
2023-1-22,23:20,0,,10
2023-1-22,23:30,0,,10
2023-1-22,23:40,0,,10
2023-1-22,23:50,0,,10
2023-1-23,0:00,0,,10
2023-1-23,0:10,0,,10
2023-1-23,0:20,0,,10
2023-1-23,0:30,0,,11
2023-1-23,0:40,0,,11
2023-1-23,0:50,0,,11
2023-1-23,1:00,0,,11
2023-1-23,1:10,0,,10
2023-1-23,1:20,0,,10
2023-1-23,1:30,0,,11
2023-1-23,1:40,0,,11
2023-1-23,1:50,0,,11
2023-1-23,2:00,0,,10
2023-1-23,2:10,0,,11
2023-1-23,2:20,0,,11
2023-1-23,2:30,0,,11
2023-1-23,2:40,0,,11
2023-1-23,2:50,0,,11
2023-1-23,3:00,0,,11
2023-1-23,3:10,0,,11
2023-1-23,3:20,0,,11
2023-1-23,3:30,0,,11
2023-1-23,3:40,0,,11
2023-1-23,3:50,0,,11
2023-1-23,4:00,0,,11
2023-1-23,4:10,0,,10
2023-1-23,4:20,0,,11
2023-1-23,4:30,0,,11
2023-1-23,4:40,0,,11
2023-1-23,4:50,0,,11
